category,tag,question,answer
Troubleshooting,Account,Saya tidak menerima email verifikasi.,"Cek folder Spam atau Junk di email Anda. Jika tidak ada, klik tombol 'Kirim Ulang Email Verifikasi' di halaman profil."
Troubleshooting,Product,Produk elektronik yang baru dibeli tidak bisa menyala.,"Pastikan kabel power terhubung dengan benar dan stopkontak berfungsi. Jika masih tidak menyala, hubungi CS untuk proses retur barang cacat (DOA)."
Troubleshooting,App,Fitur GPS tidak mendeteksi lokasi saya dengan benar.,Pastikan Anda telah memberikan izin lokasi pada aplikasi. Pergi ke Pengaturan HP > Aplikasi > Izin > aktifkan Lokasi.
Troubleshooting,Order,Nomor resi pengiriman tidak bisa dilacak.,Data resi biasanya butuh waktu 1x24 jam untuk terupdate di sistem kurir. Silakan coba lacak kembali besok hari.
Troubleshooting,Web,Tombol 'Beli Sekarang' tidak bisa diklik.,"Kemungkinan stok barang sedang dikunci karena ada pembeli lain yang sedang di halaman checkout, atau Anda perlu menyegarkan halaman."
Troubleshooting,Account,Akun saya tiba-tiba terkunci.,Akun terkunci biasanya karena terlalu banyak percobaan login yang salah. Tunggu 30 menit atau hubungi CS untuk verifikasi identitas.
Troubleshooting,App,Notifikasi aplikasi tidak masuk di HP saya.,"Buka pengaturan notifikasi di HP Anda, pastikan izin notifikasi untuk aplikasi kami dalam keadaan aktif."
Troubleshooting,Payment,Gagal melakukan pembayaran dengan kartu kredit (Error 3D Secure).,"Pastikan nomor HP yang terdaftar di bank aktif untuk menerima SMS OTP. Jika tidak masuk, hubungi bank penerbit kartu."
Troubleshooting,Review,Saya tidak bisa mengunggah foto pada ulasan produk.,Pastikan ukuran foto tidak melebihi 5MB dan format foto adalah JPG atau PNG.
Contact Information,CS,Bagaimana cara menghubungi Customer Service?,"Anda bisa menghubungi CS kami melalui Live Chat di aplikasi (24/7), email ke support@perusahaan.com, atau telepon ke 1500-123."
Contact Information,CS,Berapa jam operasional Call Center?,"Call Center kami (1500-123) beroperasi setiap hari Senin hingga Minggu, pukul 08:00 - 20:00 WIB."
Contact Information,Social,Apa saja akun media sosial resmi perusahaan?,"Instagram: @perusahaan_id, Twitter: @perusahaan_care, Facebook: Perusahaan Indonesia."
Contact Information,Office,Di mana alamat kantor pusat perusahaan?,"Kantor pusat kami berlokasi di Gedung Sudirman Tower, Lt. 15, Jl. Jend. Sudirman Kav 21, Jakarta Selatan 12920."
Contact Information,Business,Ke mana saya harus mengirim proposal kerjasama bisnis?,"Untuk keperluan B2B dan partnership, silakan kirimkan email dan proposal Anda ke partnership@perusahaan.com."
Contact Information,Career,Di mana saya bisa melihat info lowongan kerja?,Informasi lowongan kerja terbaru dapat dilihat di halaman karir kami di karir.perusahaan.com atau akun LinkedIn resmi perusahaan.
Contact Information,Press,Kontak untuk kebutuhan media dan press release?,Rekan-rekan media dapat menghubungi tim Public Relations kami melalui email di pr@perusahaan.com.
Contact Information,Store,Apakah perusahaan memiliki toko offline?,Saat ini kami beroperasi 100% secara online dan belum memiliki toko fisik (offline store).
Contact Information,CS,Berapa lama SLA balasan email CS?,Tim CS kami berkomitmen untuk membalas semua email masuk dalam waktu maksimal 1x24 jam kerja.
Contact Information,Complaint,Bagaimana prosedur eskalasi keluhan tingkat lanjut?,"Jika solusi dari CS dirasa kurang memuaskan, Anda bisa membalas tiket email dengan subject [ESKALASI], maka tim Supervisor akan menanganinya."
Contact Information,Feedback,Di mana saya bisa memberikan saran atau masukan untuk aplikasi?,Kami sangat menghargai masukan Anda. Silakan isi form feedback di menu 'Bantuan' > 'Beri Masukan'.
